1.0,23.0,1.0,23.0,0.0
2.0,34.0,2.0,17.0,0.0
2.0,10.0,2.0,4.75,0.25
1.0,23.0,1.0,23.0,0.0
2.0,10.0,2.0,4.75,0.25
43.0,32.0,4.0,0.5813953488372093,0.16279069767441862
2.0,22.0,2.0,11.0,0.0
1.0,10.0,2.0,10.0,0.0
2.0,20.0,1.0,10.0,0.0
2.0,10.0,1.0,5.0,0.0
1.0,20.0,2.0,20.0,0.0
1.0,20.0,2.0,20.0,0.0
1.0,20.0,2.0,20.0,0.0
32.0,3553.0,2.0,111.03125,0.0
20.0,40.0,2.0,1.95,0.05
1.0,23.0,9.0,22.5,0.5
3.0,32.0,1.0,10.666666666666666,0.0
2.0,32.0,1.0,16.0,0.0
2.0,323.0,1.0,161.5,0.0
1.0,22.0,1.0,22.0,0.0
1.0,3232.0,1.0,3232.0,0.0
2.0,9.0,2.0,4.25,0.25
